Part of NAICS US,2017NAICSUS  ,2017 NAICS US TITLE,Part of ISIC,ISIC 4.0,ISIC Revision 4.0 Title,"Notes:  link content based on NAICS definition, entire NAICS industry if blank",ISIC 4.02,UID,#NAICS,#ISIC,Comments,#NAICS matches,#ISIC matches
,238120,Structural Steel and Precast Concrete Contractors,*,4390,Other specialized construction activities, ,4390,F4.0177,NAICS-238120,ISIC-4390,,1,1
,238130,Framing Contractors,*,4390,Other specialized construction activities, ,4390,F4.0178,NAICS-238130,ISIC-4390,,1,1
*,238140,Masonry Contractors,*,4330,Building completion and finishing,glass block and stucco installation contractors,4330,F4.0179,NAICS-238140,ISIC-4330,,1,1
*,238140,Masonry Contractors,*,4390,Other specialized construction activities,except glass block and stucco installation contractors,4390,F4.0180,NAICS-238140,ISIC-4390,,1,1
,238150,Glass and Glazing Contractors,*,4330,Building completion and finishing, ,4330,F4.0181,NAICS-238150,ISIC-4330,,1,1
,238160,Roofing Contractors,*,4390,Other specialized construction activities, ,4390,F4.0182,NAICS-238160,ISIC-4390,,1,1
,238170,Siding Contractors,*,4390,Other specialized construction activities, ,4390,F4.0183,NAICS-238170,ISIC-4390,,1,1
,238190,"Other Foundation, Structure, and Building Exterior Contractors",*,4390,Other specialized construction activities,,4390,F4.0184,NAICS-238190,ISIC-4390,,1,1
,238210,Electrical Contractors and Other Wiring Installation Contractors,*,4321,Electrical installation, ,4321,F4.0185,NAICS-238210,ISIC-4321,,1,1
*,238220,"Plumbing, Heating, and Air-Conditioning Contractors",*,3320,Installation of industrial machinery and equipment,industrial furnace and power boiler installation,3320,F4.0186,NAICS-238220,ISIC-3320,,1,1
*,238220,"Plumbing, Heating, and Air-Conditioning Contractors",,4322,"Plumbing, heat and air-conditioning installation","except boiler chipping, cleaning, and scaling; industrial furnace and power boiler installation; chimney liner installation",4322,F4.0187,NAICS-238220,ISIC-4322,,1,1
*,238220,"Plumbing, Heating, and Air-Conditioning Contractors",*,4390,Other specialized construction activities,chimney liner installation,4390,F4.0188,NAICS-238220,ISIC-4390,,1,1
*,238220,"Plumbing, Heating, and Air-Conditioning Contractors",*,8129,Other building and industrial cleaning activities,"boiler chipping, cleaning, and scaling ",8129,F4.0189,NAICS-238220,ISIC-8129,,1,1
*,238290,Other Building Equipment Contractors,,331,"Repair of fabricated metal products, machinery and equipment","ISIC group level link - servicing, repair and maintenance of miscellaneous building equipment performed by millwrights and machine rigging contractors",331,F4.0190,NAICS-238290,ISIC-331,,1,1
*,238290,Other Building Equipment Contractors,*,3320,Installation of industrial machinery and equipment,installation of industrial machinery and equipment by specialty contractors,3320,F4.0191,NAICS-238290,ISIC-3320,,1,1
*,238290,Other Building Equipment Contractors,*,4321,Electrical installation,installation of residential satellite dishes,4321,F4.0192,NAICS-238290,ISIC-4321,,1,1
*,238290,Other Building Equipment Contractors,*,4329,Other construction installation,"except repair and maintenance of miscellaneous building equipment, installation of industrial machinery and equipment by specialty contractors, and installation of satellite dishes",4329,F4.0193,NAICS-238290,ISIC-4329,,1,1
*,238310,Drywall and Insulation Contractors,*,4329,Other construction installation,"soundproofing and building insulation contractors (wall cavity, attic, for example)",4329,F4.0194,NAICS-238310,ISIC-4329,,1,1
*,238310,Drywall and Insulation Contractors,*,4330,"Building completion and finishing

","fireproof flooring construction contractors; except soundproofing and building insulation contractors
","4330

",F4.0195,NAICS-238310,ISIC-4330,ISIC 4.0 Includes non-printable charaters in source data.,1,1
*,238310,Drywall and Insulation Contractors,*,4390,Other specialized construction activities,"building fireproofing contractors

",4390,F4.0196,NAICS-238310,ISIC-4390,,1,1
,238320,Painting and Wall Covering Contractors,*,4330,Building completion and finishing, ,4330,F4.0197,NAICS-238320,ISIC-4330,,1,1
,238330,Flooring Contractors,*,4330,Building completion and finishing,,4330,F4.0198,NAICS-238330,ISIC-4330,,1,1
,238340,Tile and Terrazzo Contractors,*,4330,Building completion and finishing, ,4330,F4.0199,NAICS-238340,ISIC-4330,,1,1
,238350,Finish Carpentry Contractors,*,4330,Building completion and finishing, ,4330,F4.0200,NAICS-238350,ISIC-4330,,1,1
*,238390,Other Building Finishing Contractors,*,4330,Building completion and finishing,"except waterproofing, damp proofing, bathtub refinishing and installation of custom sheet metal work fabricated on site",4330,F4.0201,NAICS-238390,ISIC-4330,,1,1
*,238390,Other Building Finishing Contractors,*,4390,Other specialized construction activities,"waterproofing, damp proofing, bathtub refinishing and installation of custom sheet metal work fabricated on site",4390,F4.0202,NAICS-238390,ISIC-4390,,1,1
*,238910,Site Preparation Contractors,,4311,Demolition,demolition of buildings and other structures,4311,F4.0203,NAICS-238910,ISIC-4311,,1,1
*,238910,Site Preparation Contractors,*,4312,Site preparation,"except demolition, septic and cess pool installation, pile driving and rental of construction equipment (except bulldozers) with operator",4312,F4.0204,NAICS-238910,ISIC-4312,,1,1
*,238910,Site Preparation Contractors,*,4390,Other specialized construction activities,"septic tank and cess pool installation, pile driving, rental of construction equipment (except bulldozers) with operator",4390,F4.0205,NAICS-238910,ISIC-4390,,1,1
*,238990,All Other Specialty Trade Contractors,*,4210,Construction of roads and railways,"interlocking block walkways, driveways, patios, etc.",4210,F4.0206,NAICS-238990,ISIC-4210,,1,1
*,238990,All Other Specialty Trade Contractors,*,4390,Other specialized construction activities,"except interlocking block walkways, driveways, patios, etc.",4390,F4.0207,NAICS-238990,ISIC-4390,,1,1
,311111,Dog and Cat Food Manufacturing,*,1080,Manufacture of prepared animal feeds, ,1080,F4.0208,NAICS-311111,ISIC-1080,,1,1
,311119,Other Animal Food Manufacturing,*,1080,Manufacture of prepared animal feeds, ,1080,F4.0209,NAICS-311119,ISIC-1080,,1,1
*,311211,Flour Milling,*,1030,Processing and preserving of fruit and vegetables,potato flour,1030,F4.0210,NAICS-311211,ISIC-1030,,1,1
*,311211,Flour Milling,*,1061,Manufacture of grain mill products,except potato flour,1061,F4.0211,NAICS-311211,ISIC-1061,,1,1
,311212,Rice Milling,*,1061,Manufacture of grain mill products, ,1061,F4.0212,NAICS-311212,ISIC-1061,,1,1
,311213,Malt Manufacturing,*,1103,Manufacture of malt liquors and malt, ,1103,F4.0213,NAICS-311213,ISIC-1103,,1,1
*,311221,Wet Corn Milling,*,1040,Manufacture of vegetable and animal oils and fats,"vegetable oils (except corn), margarine, and other edible and inedible oils produced by wet milling ",1040,F4.0214,NAICS-311221,ISIC-1040,,1,1
*,311221,Wet Corn Milling,*,1062,Manufacture of starches and starch products,wet corn milling and starches and starch products,1062,F4.0215,NAICS-311221,ISIC-1062,,1,1
,311224,Soybean and Other Oilseed Processing,*,1040,Manufacture of vegetable and animal oils and fats, ,1040,F4.0216,NAICS-311224,ISIC-1040,,1,1
*,311225,Fats and Oils Refining and Blending,*,1040,Manufacture of vegetable and animal oils and fats,except corn oil made from purchased oil,1040,F4.0217,NAICS-311225,ISIC-1040,,1,1
*,311225,Fats and Oils Refining and Blending,*,1062,Manufacture of starches and starch products,corn oil made from purchased oil,1062,F4.0218,NAICS-311225,ISIC-1062,,1,1
,311230,Breakfast Cereal Manufacturing,*,1061,Manufacture of grain mill products, ,1061,F4.0219,NAICS-311230,ISIC-1061,,1,1
,311313,Beet Sugar Manufacturing,*,1072,Manufacture of sugar, ,1072,F4.0220,NAICS-311313,ISIC-1072,,1,1
,311314,Cane Sugar Manufacturing,*,1072,Manufacture of sugar, ,1072,F4.0221,NAICS-311314,ISIC-1072,,1,1
,311340,Nonchocolate Confectionery Manufacturing,*,1073,"Manufacture of cocoa, chocolate and sugar confectionery", ,1073,F4.0222,NAICS-311340,ISIC-1073,,1,1
,311351,Chocolate and Confectionery Manufacturing from Cacao Beans,*,1073,"Manufacture of cocoa, chocolate and sugar confectionery", ,1073,F4.0223,NAICS-311351,ISIC-1073,,1,1
,311352,Confectionery Manufacturing from Purchased Chocolate,*,1073,"Manufacture of cocoa, chocolate and sugar confectionery", ,1073,F4.0224,NAICS-311352,ISIC-1073,,1,1
,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",*,1030,Processing and preserving of fruit and vegetables, ,1030,F4.0225,NAICS-311411,ISIC-1030,,1,1
*,311412,Frozen Specialty Food Manufacturing,*,1010,Processing and preserving of meat,frozen meat entrees - prepared,1010,F4.0226,NAICS-311412,ISIC-1010,,1,1
*,311412,Frozen Specialty Food Manufacturing,*,1071,Manufacture of bakery products,"frozen french toast, waffles, and pancakes ",1071,F4.0227,NAICS-311412,ISIC-1071,,1,1
*,311412,Frozen Specialty Food Manufacturing,*,1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",frozen pasta (plain) ,1074,F4.0228,NAICS-311412,ISIC-1074,,1,1
*,311412,Frozen Specialty Food Manufacturing,*,1075,Manufacture of prepared meals and dishes,"except frozen meat entrees, frozen french toast and waffles, frozen soup, and frozen nondairy whipped toppings",1075,F4.0229,NAICS-311412,ISIC-1075,,1,1
*,311412,Frozen Specialty Food Manufacturing,*,1079,Manufacture of other food products n.e.c.,"frozen soup, frozen nondairy whipped topping",1079,F4.0230,NAICS-311412,ISIC-1079,,1,1
*,311421,Fruit and Vegetable Canning,*,1030,Processing and preserving of fruit and vegetables,except catsup and similar tomato sauces,1030,F4.0231,NAICS-311421,ISIC-1030,,1,1
*,311421,Fruit and Vegetable Canning,*,1079,Manufacture of other food products n.e.c.,catsup and similar tomato sauces,1079,F4.0232,NAICS-311421,ISIC-1079,,1,1
*,311422,Specialty Canning,*,1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",canned pasta (plain),1074,F4.0233,NAICS-311422,ISIC-1074,,1,1
*,311422,Specialty Canning,*,1075,Manufacture of prepared meals and dishes,"except canned pasta, canned soups, and canned baby foods",1075,F4.0234,NAICS-311422,ISIC-1075,,1,1
*,311422,Specialty Canning,*,1079,Manufacture of other food products n.e.c.,"canned soups, canned baby foods",1079,F4.0235,NAICS-311422,ISIC-1079,,1,1
*,311423,Dried and Dehydrated Food Manufacturing,*,1030,Processing and preserving of fruit and vegetables,except soup mixes,1030,F4.0236,NAICS-311423,ISIC-1030,,1,1
*,311423,Dried and Dehydrated Food Manufacturing,*,1079,Manufacture of other food products n.e.c.,soup mixes,1079,F4.0237,NAICS-311423,ISIC-1079,,1,1
*,311511,Fluid Milk Manufacturing,*,1050,Manufacture of dairy products,except nondairy milk substitutes,1050,F4.0238,NAICS-311511,ISIC-1050,,1,1
*,311511,Fluid Milk Manufacturing,*,1079,Manufacture of other food products n.e.c.,nondairy milk substitutes,1079,F4.0239,NAICS-311511,ISIC-1079,,1,1
,311512,Creamery Butter Manufacturing,*,1050,Manufacture of dairy products, ,1050,F4.0240,NAICS-311512,ISIC-1050,,1,1
*,311513,Cheese Manufacturing,*,1050,Manufacture of dairy products,except imitation or substitute cheese products,1050,F4.0241,NAICS-311513,ISIC-1050,,1,1
*,311513,Cheese Manufacturing,*,1079,Manufacture of other food products n.e.c.,imitation or substitute cheese products,1079,F4.0242,NAICS-311513,ISIC-1079,,1,1
*,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",*,1050,Manufacture of dairy products,except infant formula and dietary drinks (dairy and nondairy),1050,F4.0243,NAICS-311514,ISIC-1050,,1,1
*,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",*,1079,Manufacture of other food products n.e.c.,"infant formula, dietary drinks (dairy and nondairy)",1079,F4.0244,NAICS-311514,ISIC-1079,,1,1
,311520,Ice Cream and Frozen Dessert Manufacturing,*,1050,Manufacture of dairy products, ,1050,F4.0245,NAICS-311520,ISIC-1050,,1,1
,311611,Animal (except Poultry) Slaughtering,*,1010,Processing and preserving of meat,,1010,F4.0246,NAICS-311611,ISIC-1010,,1,1
*,311612,Meat Processed From Carcasses,*,1010,Processing and preserving of meat,except meat extracts made from purchased carcasses,1010,F4.0247,NAICS-311612,ISIC-1010,,1,1
*,311612,Meat Processed From Carcasses,*,1079,Manufacture of other food products n.e.c.,meat extracts made from purchased carcasses,1079,F4.0248,NAICS-311612,ISIC-1079,,1,1
,311613,Rendering and Meat Byproduct Processing,*,1010,Processing and preserving of meat, ,1010,F4.0249,NAICS-311613,ISIC-1010,,1,1
,311615,Poultry Processing,*,1010,Processing and preserving of meat, ,1010,F4.0250,NAICS-311615,ISIC-1010,,1,1
*,311710,Seafood Product Preparation and Packaging,*,0311,Marine fishing,"gathering & processing of seafood into fresh, frozen, or canned seafood in factory ships (i.e. factory ships that also fish)",0311,F4.0251,NAICS-311710,ISIC-0311,,1,1
*,311710,Seafood Product Preparation and Packaging,*,1010,Processing and preserving of meat,whale slaughtering ,1010,F4.0252,NAICS-311710,ISIC-1010,,1,1
*,311710,Seafood Product Preparation and Packaging,,1020,"Processing and preserving of fish, crustaceans and molluscs","except soups, chowders, stews, broth, fish oils, whale slaughtering, or the combined gathering and processing of seafood",1020,F4.0253,NAICS-311710,ISIC-1020,,1,1
*,311710,Seafood Product Preparation and Packaging,*,1040,Manufacture of vegetable and animal oils and fats,frozen or canned fish oils,1040,F4.0254,NAICS-311710,ISIC-1040,,1,1
*,311710,Seafood Product Preparation and Packaging,*,1075,Manufacture of prepared meals and dishes,"seafood dinners and stews - canned, or prepared and packaged",1075,F4.0255,NAICS-311710,ISIC-1075,,1,1
*,311710,Seafood Product Preparation and Packaging,*,1079,Manufacture of other food products n.e.c.,"soups, chowders, and broth",1079,F4.0256,NAICS-311710,ISIC-1079,,1,1
,311811,Retail Bakeries,*,1071,Manufacture of bakery products, ,1071,F4.0257,NAICS-311811,ISIC-1071,,1,1
,311812,Commercial Bakeries,*,1071,Manufacture of bakery products, ,1071,F4.0258,NAICS-311812,ISIC-1071,,1,1
,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",*,1071,Manufacture of bakery products, ,1071,F4.0259,NAICS-311813,ISIC-1071,,1,1
,311821,Cookie and Cracker Manufacturing,*,1071,Manufacture of bakery products, ,1071,F4.0260,NAICS-311821,ISIC-1071,,1,1
*,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",*,1061,Manufacture of grain mill products,except plain dry pasta and dried pasta mixed with other ingredients to make a dish when the pasta is made in the same establishment,1061,F4.0261,NAICS-311824,ISIC-1061,,1,1
*,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",*,1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",plain dry pasta,1074,F4.0262,NAICS-311824,ISIC-1074,,1,1
*,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",*,1075,Manufacture of prepared meals and dishes,dried pasta mixed with other ingredients to make a dish when the pasta is made in the same establishment,1075,F4.0263,NAICS-311824,ISIC-1075,,1,1
,311830,Tortilla Manufacturing,*,1071,Manufacture of bakery products, ,1071,F4.0264,NAICS-311830,ISIC-1071,,1,1
,311911,Roasted Nuts and Peanut Butter Manufacturing,*,1030,Processing and preserving of fruit and vegetables, ,1030,F4.0265,NAICS-311911,ISIC-1030,,1,1
*,311919,Other Snack Food Manufacturing,*,1030,Processing and preserving of fruit and vegetables,potato chips and potato snacks,1030,F4.0266,NAICS-311919,ISIC-1030,,1,1
*,311919,Other Snack Food Manufacturing,*,1071,Manufacture of bakery products,except potato chips and potato snacks,1071,F4.0267,NAICS-311919,ISIC-1071,,1,1
,311920,Coffee and Tea Manufacturing,*,1079,Manufacture of other food products n.e.c., ,1079,F4.0268,NAICS-311920,ISIC-1079,,1,1
*,311930,Flavoring Syrup and Concentrate Manufacturing,*,1030,Processing and preserving of fruit and vegetables,fruit juice based flavoring syrups and concentrates,1030,F4.0269,NAICS-311930,ISIC-1030,,1,1
*,311930,Flavoring Syrup and Concentrate Manufacturing,*,1079,Manufacture of other food products n.e.c.,except fruit juice based flavoring syrups and concentrates,1079,F4.0270,NAICS-311930,ISIC-1079,,1,1
*,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",*,1030,Processing and preserving of fruit and vegetables,"apple cider, non-alcoholic ",1030,F4.0271,NAICS-311941,ISIC-1030,,1,1
*,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",*,1079,Manufacture of other food products n.e.c.,except non-alcoholic apple cider,1079,F4.0272,NAICS-311941,ISIC-1079,,1,1
*,311942,Spice and Extract Manufacturing,*,0893,Extraction of salt,mining and processing of table salt,0893,F4.0273,NAICS-311942,ISIC-0893,,1,1
*,311942,Spice and Extract Manufacturing,*,1030,Processing and preserving of fruit and vegetables,fruit and fruit juice extracts,1030,F4.0274,NAICS-311942,ISIC-1030,,1,1
*,311942,Spice and Extract Manufacturing,*,1079,Manufacture of other food products n.e.c.,"except the combined mining and processing of table salt, fruit and fruit juice extracts",1079,F4.0275,NAICS-311942,ISIC-1079,,1,1
